Column,Calle,Causa,Ciudad,Cruce,Fecha,Hora,ID,Latitud,Lesionados,Longitud,Mes,Muertos,No. De Infracción,Número  total de lesionados,Número total de muertos,Por alcohol,Sentido,Situación climática,Situación del Pavimento,Tipo de incidente,Tipo de involucrado,Tipo de vía,V1_Arresto,V1_Dictamen,V1_Edad,V1_Estatus Licencia,V1_Género,V1_No. De Fallecidos,V1_No. De Lesionados,V1_Tipo de Vehículo,V1_Uso de Cinturón,V2_Arresto,V2_Dictamen,V2_Edad,V2_Estatus Licencia,V2_Género,V2_No. De Fallecidos,V2_No. De Lesionados,V2_Tipo de Vehículo,V2_Uso de Cinturón,V3_Arresto,V3_Dictamen,V3_Edad,V3_Estatus Licencia,V3_Género,V3_No. De Fallecidos,V3_No. De Lesionados,V3_Tipo de Vehículo,V3_Uso de Cinturón
0,CAMINO REAL,NO RESPETAR SEÑALAMIENTOS,Monterrey,SANTOS  PALOMO,2016-05-01 00:00:00,1899-12-30 00:00:00,MTY1,25.77443,No,-100.371506,Mayo,No,,,,,NORTE A SUR,Normal,Normal,Choque,Conductor,Vía secundaria,,,SD,SIN,M,,,Automóvil,No,,,,,,,,Automóvil,,,,,,,,,,
1,BERNARDO REYES,Otros,Monterrey,FIDEL VELAZQUEZ,2016-05-01 00:00:00,1899-12-30 00:00:00,MTY10,25.724161,No,-100.327445,Mayo,No,,,,,Oriente a Poniente,Normal,Normal,Choque,Conductor,Vía primaria,,,57,SIN,M,,,Automóvil,Sí,,,,,,,,Automóvil,,,,,,,,,,
2,BERNARDO REYES,Otros,Monterrey,REFORMA,2016-05-01 00:00:00,1899-12-30 00:00:00,MTY11,25.685874,No,-100.322931,Mayo,No,,,,,NORTE A SUR,Normal,Normal,Choque,Conductor,Vía primaria,,,34,SIN,M,,,Automóvil,Sí,,,,,,,,Automóvil,,,,,,,,,,
3,LINCOLN,INVADIR CARRIL,Monterrey,CUMBRES DEL SOL,2016-05-01 00:00:00,1899-12-30 00:00:00,MTY12,25.797401,No,-100.184189,Mayo,No,,,,,Oriente a Poniente,Normal,Normal,Lateral,Conductor,Vía primaria,,,27,Vigente,M,,,Camión de Carga,No,,,,,,,,Automóvil,,,,,,,,,,
4,MADERO,NO GUARDAR DISTANCIA,Monterrey,PABLO A DE LA GARZA,2016-05-01 00:00:00,1899-12-30 00:00:00,MTY13,25.682219,No,-100.287349,Mayo,No,,,,,NORTE A SUR,Normal,Normal,Alcance,Conductor,Vía primaria,,,39,SIN,M,,,Automóvil,Sí,,,,,,,,Automóvil,,,,,,,,,,
5,REVOLUCION,No Respetó Semáforo,Monterrey,PROLONG. ALFONSO REYES,2016-05-01 00:00:00,1899-12-30 00:00:00,MTY14,25.643311,No,-100.274102,Mayo,No,,,,,NORTE A SUR,Normal,Normal,Choque,Conductor,Vía primaria,,,35,Vigente,M,,,Automóvil,Sí,,,,,,,,Automóvil,,,,,,,,,,
6,ANT CAM A VILLA DE SANTIAGO,NO GUARDAR DISTANCIA,Monterrey,CORREOS MEXICANOS,2016-05-01 00:00:00,1899-12-30 00:00:00,MTY15,25.584966,No,-100.244359,Mayo,No,,,,,NORTE A SUR,Normal,Normal,Reversa,Conductor,Vía secundaria,,,39,Vigente,M,,,Automóvil,No,,,,,,,,Automóvil,,,,,,,,,,
7,CHURUBUSCO,NO GUARDAR DISTANCIA,Monterrey,FRANCISCO BELTRAN,2016-05-01 00:00:00,1899-12-30 00:00:00,MTY16,25.691499,No,-100.268413,Mayo,No,,,,,NORTE A SUR,Normal,Normal,Alcance,Conductor,Vía primaria,,,28,Vigente,M,,,Camión de Carga,No,,,,,,,,Automóvil,,,,,,,,,,
8,LAS FLORES,INVADIR CARRIL,Monterrey,RANGEL FRIAS,2016-05-01 00:00:00,1899-12-30 00:00:00,MTY17,25.730572,No,-100.344382,Mayo,No,,,,,Oriente a Poniente,Normal,Normal,Lateral,Conductor,Vía primaria,,,32,Vigente,F,,,Automóvil,No,,,,,,,,Motocicleta,,,,,,,,,,
9,COLOSIO,Otros,Monterrey,AVE DEL PALMAR,2016-05-01 00:00:00,1899-12-30 00:00:00,MTY18,25.795179,No,-100.394065,Mayo,No,,,,,NORTE A SUR,Normal,Normal,Alcance,Conductor,Vía secundaria,,,34,Vigente,M,,,Automóvil,No,,,,,,,,Automóvil,,,,,,,,,Automóvil,
